epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.512,1.43386,2.98232,1.21414,0.79137,0.71592,0.74895,0.43958,1.43628,1.66893,1.25198,0.000333052,0.000333052,0.000333052
2,410.306,1.30216,1.29331,1.13118,0.81184,0.77801,0.80048,0.51806,1.27027,1.18207,1.17969,0.000600413,0.000600413,0.000600413
3,609.31,1.22252,0.97867,1.1017,0.81818,0.76026,0.8018,0.53358,1.27471,1.11261,1.16208,0.000801774,0.000801774,0.000801774
4,800.988,1.16801,0.87163,1.07447,0.85516,0.80782,0.83223,0.56989,1.15702,0.95826,1.12315,0.000703,0.000703,0.000703
5,990.279,1.09356,0.76082,1.04394,0.85976,0.82403,0.84216,0.59133,1.11065,0.91564,1.11209,0.000604,0.000604,0.000604
6,1183.2,1.05691,0.71894,1.03526,0.84597,0.82641,0.83305,0.5977,1.07665,0.90624,1.08087,0.000505,0.000505,0.000505
7,1377.52,1.00227,0.67813,1.00735,0.87437,0.84412,0.84911,0.6189,1.02905,0.84102,1.05865,0.000406,0.000406,0.000406
8,1568.21,0.9555,0.63181,0.98971,0.87682,0.84542,0.86342,0.64111,0.9913,0.81177,1.0498,0.000307,0.000307,0.000307
9,1758.09,0.91109,0.57589,0.97694,0.87686,0.85134,0.86013,0.66351,0.93727,0.77393,1.03396,0.000208,0.000208,0.000208
10,1947.17,0.86308,0.54182,0.9574,0.87369,0.85688,0.86313,0.66508,0.92292,0.7597,1.02406,0.000109,0.000109,0.000109
